Event,Lat,Long,Date,Time,Report
Event 9835-2022,46.541763917669,-76.902289303255,2022-12-11,00:02 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9835
Event 9816-2022,31.467300286832,-120.35990267146,2022-12-10,02:02 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9816
Event 9813-2022,40.729492464513,-72.583417339254,2022-12-09,23:45 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9813
Event 9732-2022,26.979086604692,-84.408570198349,2022-12-07,04:56 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9732
Event 9731-2022,45.098011204232,-101.43925286556,2022-12-07,03:41 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9731
Event 9680-2022,50.386025621727,-122.80271626959,2022-12-05,02:05 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9680
Event 9655-2022,42.303401194857,-71.382518833231,2022-12-04,05:32 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9655
Event 9631-2022,40.370945077184,-108.24661819068,2022-12-03,02:41 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9631
Event 9605-2022,43.031674879276,-70.244696337996,2022-12-02,10:42 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9605
Event 9579-2022,39.58667031542,-77.542462917715,2022-12-02,00:33 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9579
Event 9568-2022,39.459173310648,-118.81127633557,2022-12-01,04:04 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9568
Event 9535-2022,29.027035079329,-97.792448056346,2022-11-30,03:20 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9535
Event 9536-2022,40.272716613272,-107.51125159324,2022-11-30,00:47 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9536
Event 9456-2022,34.504875004165,-118.32405315134,2022-11-29,05:29 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9456
Event 9481-2022,31.524069158647,-97.588065844217,2022-11-28,11:31 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/9481
