Timestamp,2) Are you the primary observer?,3) Photographic or physical evidence,4)  Duration -- How long did the phenomenon last?,5) Color and Brightness,6) Size/shape,"7) Smell, Sound, Heat",8) Behavior  /  path (free-verse),9) Weather conditions,10) Environment: Indoors or Outdoors?,11a) What is the approximate date and time of your observation?,DATE,11b) What is the precise date and (local) time of your observation?,12) What is the location of your observation?,Latitude,Longitude,Confidence,13) Permission to publish report,,RESERVED FOR ADDITIONAL COMMENTS BY RESEARCHERS
6/18/20 20:55,This was told to me by my mother-in-law.,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,Blue-white,"grapefruit sized, diminishing over time",Smelled like ozone.  No sound.,It came in through an open window and drifted through my dining room,Unknown,"This was on the edge of a lake, in  Minnesota","Summer, around 1945",1945,,Somewhere in Minnesota,46.34885577,-94.20079058,3,I do not wish to provide further contact information at this time.,,
6/19/20 9:10,No,I have physical evidence but I have not sent it.,3 to 4 seconds,Blue-white,About the size of a grapefruit,No sound or smell (witness was in car and object outside car),"Object appeared in front of witnesses' front door, then moved right about sixty feet in half a second, behind a tree, and vanished behind a neighbor's house.",Strong thunderstorm with rain,Semi-rural suburb.  Power line situation unknown.,,,6/23/08 21:00,"Poughquag, New York",41.62726,-73.6915,2,I do not wish to provide further contact information at this time.,,
6/26/20 15:37,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,green-white,Basketball,No,"Along floor through rooms, appeared travel in straight line",Thunder heavy rain ,wimberley rural,2008,2008,,201 arrowhead pass 78676,30.62082905,-104.1026559,0,I willl e-mail you my contact information,,
6/26/20 16:56,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,orange-white,soccer ball size,"crackling, whooshing sound. acrid odor","white,orange soccer ball sized lightning ball danced past me in my kitchen on its way to burning out the refrigerator then on to the end of the house where it knocked out the electricity in the wall and the garage door transformer. It burned through the walls. It moved from the sink area where I was standing to an area six feet behind me where the refrigerator sits.","Heavy rain occuring from severe thunderstorms in area. Summer , hot weather , early afternoon. ",Rural. Lightning hit the pole outside knocking the transformer down to barely hanging on the pole. Very loud bolt in front of the house. after that the ball lightning appeared in the house ,June 2008 early afternoon,2008,,"201 Arrowhead Pass, Wimberley ,Texas ,78676",30.62082905,-104.1026559,0,I do not wish to provide further contact information at this time.,,
7/28/20 11:55,No,E-MAIL ADDRESS INVALID,5 to 8 seconds,bright and bluish,"several inches, spherical and bobbing",unknown,"This is a second-hand, hearsay report from my mother, who has long since passed.  She witnessed, during a thunderstorm, a glowing orb dancing above a portable  radio (Zenith, vintage 1940's, beige with a hinged cover) which was sitting on a tall bookcase.  She said that during the appearance the radio emitted broadcasting while shut off, sounding as if many stations were on at once.  It was probably plugged in at the time.  I don't recall much of a description, other than a dancing, bluish, bright orb she termed a 'lightning ball' that only lasted a few seconds.",During a thunderstorm.,"Indoors, in a single-storied windowed room at one end of a two-story frame house.  ","Largely unknown, but in the late 1940's or early 1950's.",1948,,"7003 Ralston Road, Arvada, Colorado",39.80217788,-105.0755298,0,You may publish my anonymized report,,
7/28/20 20:24,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),not sure,"""like fire!""","""ball of fire""",na,"""came in living room, destroyed tv, left some damaged drapes and stuff"" then disappeared","Do not recall, but at my house was typical spring thunder storm.  My best friend said next day that a ""ball of lightening"" came in their ""living room and hit the TV,"" left some other fire damage to drapes and stuff. I was not there, but she had no reason to fabricate. Ball lightening had been reported in our area before this.",indoors,"Spring 1966 or 1967, I think.",1966,,"Fern Creek Rd., Fern Creek, KY",38.15849766,-85.58216417,1,anecdotal since no longer in contact with my friend,,
7/29/20 9:08,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),30 seconds to a minute,multi ,about 6 inches,,,stormy,through a window,1961,1961,,Palistine TX,31.7617,-95.632,2,If you want to know more have someone contact me I hate wrighting.,,
8/6/20 18:33,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),"Not sure, it was my mother that observed this, before I was born, but the memory was vivid..",Bright light (blue),Size of a volley ball,ozone,"It came in through an open door, rolled around on the top of a wood cookstove, and rolled back out the same open door.","During regular afternoon thunderstorms in the Valle Grande, now called Valles Caldera.  (My dad was cattle foreman there until I was 10 years old.)","See above ... inside the Big House, now called the Bond House, Valle Grande ... very rural, no electricity at that time ... pre-1954, when REA came to the mountains.","Summer, midafternoon",,,"Inside the Big House, now called the Bond House, Valles Caldera National Park, NM",35.86555,-106.517531,0,You may publish my anonymized report,,
8/24/20 13:31,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,The ball was a bright white color. ,"It was about the size of an orange. My sister and I were making Valentines Day cards at the dining room table. There were cereal boxes all over the table. The ball came from the TV room, passed across the table, dodging the cereal boxes and casting a glowing light on them as it went, went over the kitchen counter and disappeared. ",,"My tv room was open to the kitchen. It came from the window in the tv room, through the kitchen, across the table, not touching any of the cereal boxes but changing path to avoid them, then over the counter and down out of sight where it disappeared. ",,It occurred indoors in my family house. ,"It was the evening, after dinner time, parents were already upstairs getting ready for bed so perhaps 8 or 9 pm? Around Valentine’s Day in ~2006. ",2006,,"307 E Baylor Lane, Gilbert Arizona 85296",33.32479198,-111.7833054,0,You may publish my anonymized report,,
10/23/20 21:55,"Observed by my mother in the 1930's in outback Australia, she died in 2012",I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Un-timed ,I understand it was white ,Four inches in diameter,unknown,"It appeared in a doorway, followed the profile of the door frame and then passed down a hallway for approximately ten feet before dissipating",Unknown,"Indoors, The weatherboard (clapboard) house was in outback N.S.W., Australia in the 1930's, no power lines nearby, all lighting was by paraffin lamps. Sandy loam soil near a large inland freshwater lake with salt flats nearby. ",unknown,,,"34° 2'44.79""S, 141°16'18.96""E ",34.045775,-141.271933,1,You may publish my anonymized report,,
